epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,2760.08,1.72147,1.16872,0.00345,0.63882,0.60154,0.61754,0.26385,1.95428,1.44272,0.00574,0.0007724,0.0007724,0.0007724
95,2788.45,1.73608,1.13315,0.00338,0.62699,0.59934,0.59532,0.25399,1.99412,1.45087,0.00585,0.0007592,0.0007592,0.0007592
96,2817.06,1.68987,1.0972,0.00338,0.6128,0.61142,0.62052,0.27025,1.97078,1.4734,0.00572,0.000746,0.000746,0.000746
97,2845.63,1.68375,1.08862,0.00326,0.66943,0.57739,0.64247,0.28461,1.94923,1.43217,0.0057,0.0007328,0.0007328,0.0007328
98,2874,1.70448,1.13379,0.00331,0.63381,0.61557,0.64464,0.28356,1.97782,1.36499,0.00583,0.0007196,0.0007196,0.0007196
99,2902.35,1.69585,1.09453,0.00328,0.65078,0.6202,0.64414,0.29388,1.98048,1.34371,0.00579,0.0007064,0.0007064,0.0007064
100,2930.8,1.71468,1.09732,0.00336,0.61474,0.62678,0.62656,0.28487,1.93179,1.39826,0.00571,0.0006932,0.0006932,0.0006932
101,2959.27,1.67456,1.08362,0.00324,0.6427,0.58068,0.6107,0.26821,1.94976,1.42034,0.00572,0.00068,0.00068,0.00068
102,2999.52,1.71576,1.15107,0.00325,0.61866,0.63337,0.6228,0.27351,1.96939,1.40894,0.00567,0.0006668,0.0006668,0.0006668
103,3029.14,1.69363,1.04149,0.00328,0.65359,0.62546,0.63823,0.27594,1.9914,1.38548,0.00587,0.0006536,0.0006536,0.0006536
104,3058.8,1.71562,1.08911,0.00333,0.64034,0.64984,0.64433,0.27949,1.93415,1.37561,0.00568,0.0006404,0.0006404,0.0006404
105,3088.5,1.70242,1.07848,0.00329,0.58621,0.60263,0.59874,0.25684,1.95248,1.51711,0.00561,0.0006272,0.0006272,0.0006272
106,3116.76,1.65768,1.01131,0.00313,0.62691,0.63996,0.63548,0.27313,1.94843,1.42801,0.00565,0.000614,0.000614,0.000614
107,3145.09,1.67351,1.0428,0.00315,0.65554,0.57958,0.60672,0.26386,1.97766,1.51854,0.00578,0.0006008,0.0006008,0.0006008
108,3173.3,1.62819,0.99402,0.00317,0.67102,0.61581,0.64009,0.27705,1.98643,1.35396,0.00584,0.0005876,0.0005876,0.0005876
109,3201.54,1.63488,1.0263,0.00321,0.66454,0.64984,0.64412,0.28071,1.96102,1.36122,0.00575,0.0005744,0.0005744,0.0005744
